product_id,brand_name,product_name
7896359019007,Sanremo,bebedouro automatico 250ml azul sanremo
7896267780754,Summer vibes,suco misto pessego maca summer vibes 1l
7891000158845,Dolce gusto,capsulas cafe pingado nescafe dolce gusto 10
2165410000007,Tirolez,queijo tipo gouda embalado vacuo tirolez
703305298164,Bic,cola branca bic 40g
7896214533075,Queensberry,geleia frutas vermelhas diet queensberry 280g
2201800000001,Best beef,costela bovina janela resfriada best beef
7891962037004,Bauducco,wafer morango bauducco 140g
7896333042403,Mercatto,oregano mercatto 10g
7892300030688,Sinhá,pipoca micro ondas sabor manteiga sinha 90g
7891000623008,Purina,bifinho caes doguitos purina carne 65g
7891991015929,Antarctica,agua tonica antarctica lata 269ml
7896625210817,Vigor,iogurte granola chocolate viv vigor 140g
7500435169370,Pantene,conjunto shampoo 350ml condicionador 175ml pantene hidratacao
7891132009374,Vono,sopa instantanea aipim costela vono 18g
7891149103065,Stella artois,cerveja stella artois belgium lager lata 269ml
7891361413485,Oxford,caneca ceramica tulipa bege a6370585 oxford 330ml
7908090302536,Mar & rio pescados,posta filhote congelada mar rio pescados 300g
7891143019072,Polenghi,queijo prato zero lactose sandwich in polenghi 144g
7798090160072,Doña paula,dona paula estate chardonnay argentino vinho branco 750ml
2320700000000,Gran mestri,queijo parmesao zero lactose gran mestri
7896407500358,Winna,vinagre alcool winna 750ml
7896020690610,Mor,bule termico amare plastico preto 25100903 mor 650ml
7891048061817,Dr.oetker,mistura bolo cremoso coco dr oetker 400g
4012200046654,Kühne,pepino conserva gourmet selection kuhne 300g
7896001032156,Esfrebom,corda varal nylon esfrebom bettanin 15 metros
5601096200319,Casal garcia,casal garcia portugues vinho verde branco sweet 750ml
8711000488232,L'or,capsulas cafe espresso caramel l or 10
7897217853443,Zanella,porta guardanapo 5344 zanella
7896023021633,Salton,espumante demi sec rose poetica salton 750ml
7896004007045,Cheez it,salgadinho cheez it parmesao 65g
7891000355886,Dolce gusto,capsulas achocolatado chococino nescafe dolce gusto 10
7896000557056,Maguary,suco concentrado abacaxi maguary 500ml
7891025110897,Danette,sobremesa chocolate leite danette danone 180g
7899217254862,Altenburg,travesseiro sono saude altenburg 50x70cm
7894650938720,Mr musculo,limpador mr musculo cozinha limao 500ml embalagem promocional
7804330311101,120,120 cabernet sauvignon reserva especial chileno vinho tinto 750ml
7891000405222,Nutren,bebida lactea baunilha zero lactose 15g proteinas nutren nestle 260ml
7896805802023,Maraschin,sabao glicerina maraschin baby 300g
3304020002813,Edmond thery,espumante frances gold sparkling brut edmond thery 750ml
7896776800318,Dom cândido,dom candido merlot nacional vinho tinto 750ml
7896020633112,Mor,conjunto churrasco inox madeira 003311 mor 4 pecas
7898266930819,Fausto,espumante brut rose fausto 750ml
2887250000008,Açougue,patinho bovino resfriado pedacos
7909569446041,Electrolux,ferro passar vapor electrolux lavanda experience esi50 220v
8003753917405,Illy,cafe torrado moido classico illy 125g
7898566801420,Zaka,cadeira aluminio cinza max zaka
7804454006044,Casa silva,casa silva carmenere reserva chileno vinho tinto 750ml
8595135532554,Bohemia,conjunto tacas cristal espumante sarah bohemia 260ml 6 pecas
7896256600094,Tirol,nata tirol 300g
7908561301228,Festcolor,vela aniversario interrogacao puro glitter rosa festcolor
7893299951886,Lg,smart tv led 65 ultra hd 4k lg 65ut8050psa
7896058501889,Pettiz,amendoim pettiz dori special amendoim lemon pepper 110g
5400265034133,Excelcium,trufas red avela excelcium 150g
